ID_Venda,Data,Produto,Categoria,Quantidade,Preco_Unitario,Total_Venda,Cidade,Canal_Venda
1110,2025-07-24,"Smart TV 55"" LG",TVs,1,3900,3900,São Paulo,Online
1111,2025-07-03,"Smart TV 55"" LG",TVs,2,3900,7800,São Paulo,Loja Física
1112,2025-07-11,Smartwatch Apple Watch 9,Smartwatches,2,4100,8200,Fortaleza,Loja Física
1113,2025-07-09,"Smart TV 55"" LG",TVs,3,3900,11700,Campinas,Online
1114,2025-07-17,Tablet Samsung Tab A8,Tablets,4,1500,6000,Brasília,Online
1115,2025-07-10,Tablet Samsung Tab A8,Tablets,5,1500,7500,Belo Horizonte,Loja Física
1116,2025-07-26,Headset Gamer HyperX,Fones de Ouvido,4,600,2400,Porto Alegre,Loja Física
1117,2025-07-19,Tablet Samsung Tab A8,Tablets,1,1500,1500,Belo Horizonte,Loja Física
1118,2025-07-16,Tablet Samsung Tab A8,Tablets,5,1500,7500,Porto Alegre,Online
1119,2025-07-12,Headset Gamer HyperX,Fones de Ouvido,1,600,600,Fortaleza,Loja Física
1120,2025-07-28,Smartwatch Apple Watch 9,Smartwatches,3,4100,12300,Campinas,Online
1121,2025-07-24,Notebook Dell XPS 13,Notebooks,1,8500,8500,Rio de Janeiro,Loja Física
1122,2025-07-07,Headset Gamer HyperX,Fones de Ouvido,5,600,3000,Belo Horizonte,Online
1123,2025-07-26,Monitor LG UltraWide,Monitores,5,1600,8000,São Paulo,Online
1124,2025-07-07,Fone Bluetooth JBL,Fones de Ouvido,2,350,700,Salvador,Loja Física
1125,2025-07-18,PlayStation 5,Consoles,1,4500,4500,Rio de Janeiro,Online
1126,2025-07-30,Headset Gamer HyperX,Fones de Ouvido,4,600,2400,Recife,Loja Física
1127,2025-07-20,Monitor LG UltraWide,Monitores,3,1600,4800,Rio de Janeiro,Loja Física
1128,2025-07-07,Monitor LG UltraWide,Monitores,5,1600,8000,Salvador,Loja Física
1129,2025-07-26,Smartwatch Apple Watch 9,Smartwatches,4,4100,16400,Porto Alegre,Online
1130,2025-07-08,Notebook Acer Aspire 5,Notebooks,5,3200,16000,Porto Alegre,Loja Física
1131,2025-07-05,Tablet Samsung Tab A8,Tablets,3,1500,4500,Campinas,Online
1132,2025-07-24,Notebook Dell XPS 13,Notebooks,5,8500,42500,Brasília,Online
1133,2025-07-28,Notebook Acer Aspire 5,Notebooks,5,3200,16000,São Paulo,Online
1134,2025-07-10,PlayStation 5,Consoles,5,4500,22500,Recife,Online
1135,2025-07-13,"Smart TV 55"" LG",TVs,1,3900,3900,Belo Horizonte,Loja Física
1136,2025-07-25,Monitor LG UltraWide,Monitores,2,1600,3200,Recife,Loja Física
1137,2025-07-04,Fone Bluetooth JBL,Fones de Ouvido,4,350,1400,Rio de Janeiro,Loja Física
1138,2025-07-21,Notebook Dell XPS 13,Notebooks,2,8500,17000,Curitiba,Loja Física
1139,2025-07-29,Monitor LG UltraWide,Monitores,2,1600,3200,Campinas,Loja Física
1140,2025-07-06,Fone Bluetooth JBL,Fones de Ouvido,1,350,350,Fortaleza,Loja Física
1141,2025-07-02,Fone Bluetooth JBL,Fones de Ouvido,1,350,350,Brasília,Loja Física
1142,2025-07-18,Tablet Samsung Tab A8,Tablets,4,1500,6000,Salvador,Loja Física
1143,2025-07-28,PlayStation 5,Consoles,1,4500,4500,Porto Alegre,Loja Física
1144,2025-07-29,Fone Bluetooth JBL,Fones de Ouvido,5,350,1750,Brasília,Loja Física
1145,2025-07-08,Monitor LG UltraWide,Monitores,1,1600,1600,Rio de Janeiro,Loja Física
1146,2025-07-10,PlayStation 5,Consoles,2,4500,9000,Rio de Janeiro,Online
1147,2025-07-19,Fone Bluetooth JBL,Fones de Ouvido,4,350,1400,Campinas,Loja Física
1148,2025-07-13,Monitor LG UltraWide,Monitores,5,1600,8000,Salvador,Loja Física
1149,2025-07-04,"Smart TV 55"" LG",TVs,5,3900,19500,Recife,Online
1150,2025-07-05,Tablet Samsung Tab A8,Tablets,1,1500,1500,Campinas,Online
